block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id
b_0,red,X,no_color_change,no_figure_change,update,0
b_0,red,Y,no_color_change,figure_change,update,1
b_0,blue,Y,color_change,no_figure_change,no_update,2
b_0,blue,Y,no_color_change,no_figure_change,no_update,3
b_0,blue,X,no_color_change,figure_change,no_update,4
b_0,blue,X,no_color_change,no_figure_change,no_update,5
b_0,blue,X,no_color_change,no_figure_change,no_update,6
b_0,red,X,color_change,no_figure_change,update,7
b_1,red,Y,no_color_change,no_figure_change,update,0
b_2,red,X,no_color_change,no_figure_change,update,0
b_2,red,X,no_color_change,no_figure_change,update,1
b_2,blue,X,color_change,no_figure_change,no_update,2
b_2,blue,X,no_color_change,no_figure_change,no_update,3
b_2,blue,X,no_color_change,no_figure_change,no_update,4
b_2,blue,Y,no_color_change,figure_change,no_update,5
b_2,red,Y,color_change,no_figure_change,update,6
b_2,red,Y,no_color_change,no_figure_change,update,7
b_3,red,Y,no_color_change,no_figure_change,update,0
b_3,red,X,no_color_change,figure_change,update,1
b_3,blue,Y,color_change,figure_change,no_update,2
b_3,blue,Y,no_color_change,no_figure_change,no_update,3
b_3,red,Y,color_change,no_figure_change,update,4
b_3,red,Y,no_color_change,no_figure_change,update,5
b_3,blue,Y,color_change,no_figure_change,no_update,6
b_3,blue,Y,no_color_change,no_figure_change,no_update,7
b_3,red,Y,color_change,no_figure_change,update,8
b_3,red,Y,no_color_change,no_figure_change,update,9
b_3,blue,Y,color_change,no_figure_change,no_update,10
b_3,red,Y,color_change,no_figure_change,update,11
b_3,blue,X,color_change,figure_change,no_update,12
b_3,blue,Y,no_color_change,figure_change,no_update,13
b_3,blue,Y,no_color_change,no_figure_change,no_update,14
b_3,red,X,color_change,figure_change,update,15
b_3,red,X,no_color_change,no_figure_change,update,16
b_3,red,Y,no_color_change,figure_change,update,17
b_3,blue,Y,color_change,no_figure_change,no_update,18
b_3,blue,Y,no_color_change,no_figure_change,no_update,19
b_3,blue,X,no_color_change,figure_change,no_update,20
b_3,red,X,color_change,no_figure_change,update,21
b_3,red,X,no_color_change,no_figure_change,update,22
